Epoch: 918/1001, Batch: 19/35, Loss: 1.726423, img_l1_loss: 0.128818, img_pt_c_loss: 0.054060, svg_total_loss: 0.802219, svg_cmd_loss: 0.075659, svg_args_loss: 0.615351, svg_smooth_loss: 0.102877, svg_aux_loss: 0.008332, lr: 0.000163, Step: 32150
Epoch: 919/1001, Batch: 34/35, Loss: 1.702427, img_l1_loss: 0.126278, img_pt_c_loss: 0.053380, svg_total_loss: 0.747891, svg_cmd_loss: 0.025935, svg_args_loss: 0.623948, svg_smooth_loss: 0.096698, svg_aux_loss: 0.001311, lr: 0.000163, Step: 32200
Epoch: 921/1001, Batch: 14/35, Loss: 1.627656, img_l1_loss: 0.128668, img_pt_c_loss: 0.050032, svg_total_loss: 0.744158, svg_cmd_loss: 0.026378, svg_args_loss: 0.608262, svg_smooth_loss: 0.106520, svg_aux_loss: 0.002999, lr: 0.000162, Step: 32250
Epoch: 922/1001, Batch: 29/35, Loss: 1.412032, img_l1_loss: 0.110302, img_pt_c_loss: 0.045050, svg_total_loss: 0.644333, svg_cmd_loss: 0.028294, svg_args_loss: 0.530104, svg_smooth_loss: 0.085102, svg_aux_loss: 0.000833, lr: 0.000161, Step: 32300
Epoch: 924/1001, Batch: 9/35, Loss: 1.498332, img_l1_loss: 0.108701, img_pt_c_loss: 0.048804, svg_total_loss: 0.686636, svg_cmd_loss: 0.040377, svg_args_loss: 0.540678, svg_smooth_loss: 0.104438, svg_aux_loss: 0.001143, lr: 0.000160, Step: 32350
Epoch: 925/1001, Batch: 24/35, Loss: 1.574576, img_l1_loss: 0.117567, img_pt_c_loss: 0.048940, svg_total_loss: 0.729814, svg_cmd_loss: 0.051805, svg_args_loss: 0.578417, svg_smooth_loss: 0.096855, svg_aux_loss: 0.002738, lr: 0.000160, Step: 32400
Epoch: 927/1001, Batch: 4/35, Loss: 1.587063, img_l1_loss: 0.127691, img_pt_c_loss: 0.052002, svg_total_loss: 0.725269, svg_cmd_loss: 0.060111, svg_args_loss: 0.571463, svg_smooth_loss: 0.092278, svg_aux_loss: 0.001417, lr: 0.000159, Step: 32450
Epoch: 928/1001, Batch: 19/35, Loss: 1.370186, img_l1_loss: 0.119393, img_pt_c_loss: 0.050314, svg_total_loss: 0.613096, svg_cmd_loss: 0.022030, svg_args_loss: 0.507316, svg_smooth_loss: 0.083241, svg_aux_loss: 0.000509, lr: 0.000158, Step: 32500
Epoch: 929/1001, Batch: 34/35, Loss: 1.587713, img_l1_loss: 0.121010, img_pt_c_loss: 0.047883, svg_total_loss: 0.725453, svg_cmd_loss: 0.026633, svg_args_loss: 0.603848, svg_smooth_loss: 0.092571, svg_aux_loss: 0.002401, lr: 0.000158, Step: 32550
Epoch: 931/1001, Batch: 14/35, Loss: 1.584313, img_l1_loss: 0.125938, img_pt_c_loss: 0.052405, svg_total_loss: 0.713949, svg_cmd_loss: 0.025661, svg_args_loss: 0.581912, svg_smooth_loss: 0.105828, svg_aux_loss: 0.000548, lr: 0.000157, Step: 32600
Epoch: 932/1001, Batch: 29/35, Loss: 1.448151, img_l1_loss: 0.124283, img_pt_c_loss: 0.048889, svg_total_loss: 0.659569, svg_cmd_loss: 0.023550, svg_args_loss: 0.525901, svg_smooth_loss: 0.108705, svg_aux_loss: 0.001414, lr: 0.000156, Step: 32650
